% Model:              pcal_mirror_deformation_2d.mph
% Version:            COMSOL 5.6.0.401
% Date:               May 5 2026, 11:39
% Dimension:          1
% Nodes:              2251
% Expressions:        4
% Description:        Line graph
% R                       Height                   Height                   Height                   Height
0.005099999999999995      4.958071691607909E-10    4.134544535817371E-10    2.3268913422083365E-10   8.123721911530957E-11
0.005133333333333329      4.920763054632854E-10    4.1217594726458466E-10   2.3247783620951161E-10   8.122330348844447E-11
0.005166666666666661      4.883792713399234E-10    4.1089538291123026E-10   2.3226543782232701E-10   8.120930041212908E-11
0.0051999999999999946     4.847160350267682E-10    4.096127575149633E-10    2.3205193895137042E-10   8.119520988513177E-11
0.0052333333333333286     4.810880473473523E-10    4.0832814449460483E-10   2.3183733027150965E-10   8.118103144309995E-11
0.005266666666666661      4.774937325077085E-10    4.0704172668624946E-10   2.3162163579475543E-10   8.116676572840446E-11
0.005299999999999994      4.739330603896296E-10    4.0575350105634826E-10   2.3140485541150885E-10   8.115241273979248E-11
0.005333333333333328      4.704074160779502E-10    4.044635465653236E-10    2.311869799243457E-10    8.113797200814916E-11
0.00536666666666666       4.669152055469642E-10    4.031720371753672E-10    2.309680332923743E-10    8.11234441802266E-11
0.005399999999999993      4.634564003661331E-10    4.018789698230276E-10    2.3074801540394474E-10   8.110882925474745E-11
0.005433333333333327      4.600322986895266E-10    4.005844307480427E-10    2.3052691752395437E-10   8.109412676792093E-11
0.00546666666666666       4.5664131107085947E-10   3.992885829255099E-10    2.303047632864983E-10    8.107933736367507E-11
0.005499999999999993      4.5328341072374835E-10   3.9799142326245126E-10   2.3008155257796827E-10   8.106446104070928E-11
0.005533333333333327      4.499598123419552E-10    3.966930458427128E-10    2.2985727716362862E-10   8.10494973409844E-11
0.005566666666666659      4.466689174095412E-10    3.953936024744829E-10    2.2963196043123273E-10   8.103444690814819E-11
0.005599999999999992      4.434107007688476E-10    3.9409309003975217E-10   2.2940560226530096E-10   8.101930974087723E-11
0.005633333333333326      4.401862918931653E-10    3.927916057491935E-10    2.2917819462856106E-10   8.1004085381695E-11
0.005666666666666658      4.369941119736226E-10    3.9148929504808253E-10   2.289497608571809E-10    8.098877447536947E-11
0.0056999999999999915     4.338341374656005E-10    3.901861547921962E-10    2.2872030083363216E-10   8.097337702055282E-11
0.0057333333333333255     4.3070738891743586E-10   3.888822839549786E-10    2.2848980695284962E-10   8.095789257113013E-11
0.005766666666666658      4.2761234099127517E-10   3.87577821292081E-10     2.2825830210918178E-10   8.094232175860074E-11
0.005799999999999991      4.245489716670323E-10    3.8627276363288346E-10   2.2802578618323953E-10   8.092666458159516E-11
0.005833333333333325      4.215182225158571E-10    3.849672171967519E-10    2.2779225220710995E-10   8.091092060535936E-11
