% Model:              pcal_mirror_deformation_2d.mph
% Version:            COMSOL 5.6.0.401
% Date:               Apr 16 2026, 13:58
% Dimension:          1
% Nodes:              2251
% Expressions:        3
% Description:        Line graph
% R                       Height                   Height                   Height
0.003533333333333333      6.369235808468333E-10    6.417766845213367E-10    6.508799642214537E-10
0.0035666666666666663     6.30637923100112E-10     6.35350254519624E-10     6.441628636592784E-10
0.0036                    6.244706031299E-10       6.290476859485191E-10    6.375826797995029E-10
0.0036333333333333335     6.184181000195886E-10    6.22865225280767E-10     6.311351611863704E-10
0.0036666666666666666     6.124744200367706E-10    6.167963527607025E-10    6.24812183167478E-10
0.0036999999999999997     6.066395621069346E-10    6.108410663802376E-10    6.186137405623842E-10
0.0037333333333333333     6.009103376984713E-10    6.049959775125397E-10    6.125359963124309E-10
0.003766666666666666      5.952814135412743E-10    5.992553172125877E-10    6.065719302160382E-10
0.0037999999999999996     5.897527886530877E-10    5.936190837088241E-10    6.007215379634035E-10
0.003833333333333333      5.843215718407779E-10    5.880842151698893E-10    5.949813707737763E-10
0.0038666666666666663     5.789829915761003E-10    5.826455755336918E-10    5.893453007696669E-10
0.0038999999999999994     5.737370469707384E-10    5.773031632447303E-10    5.838133243496456E-10
0.003933333333333332      5.685811064749793E-10    5.720541996547944E-10    5.783823264336076E-10
0.003966666666666665      5.63510937142097E-10     5.668941479046648E-10    5.730469814247833E-10
0.003999999999999998      5.585265381690812E-10    5.618230066253121E-10    5.678072862884896E-10
0.004033333333333332      5.536254834664935E-10    5.568382202935396E-10    5.626603910350843E-10
0.0040666666666666655     5.488039674394914E-10    5.519357267512183E-10    5.576015939949133E-10
0.004099999999999999      5.4406198934378E-10      5.47115524766453E-10     5.526308925543349E-10
0.004133333333333332      5.393973750655601E-10    5.423753313669705E-10    5.477457601820259E-10
0.004166666666666666      5.348066518279002E-10    5.377114531354274E-10    5.429419723960676E-10
0.004199999999999999      5.302898189444294E-10    5.331238889648245E-10    5.382195269364633E-10
0.004233333333333333      5.258448661409369E-10    5.286105322004459E-10    5.335761038066461E-10
0.004266666666666665      5.214687133317795E-10    5.241681177348644E-10    5.290080053887661E-10
0.004299999999999998      5.171613598831506E-10    5.197966445700627E-10    5.245152297157629E-10
0.004333333333333332      5.12920929073647E-10     5.154941496375573E-10    5.200956251963697E-10
0.004366666666666665      5.087446202480031E-10    5.112576729219096E-10    5.157458685952764E-10
0.0043999999999999985     5.046324328138084E-10    5.07087213512708E-10     5.114659581789012E-10
0.004433333333333332      5.005827108682423E-10    5.029810441997323E-10    5.072540137375138E-10
0.004466666666666665      4.965928611253148E-10    4.989364317803021E-10    5.03106990392147E-10
0.004499999999999998      4.926628830448794E-10    4.949533754385976E-10    4.990248866298204E-10
0.004533333333333331      4.887912455993955E-10    4.910302811846305E-10    4.950059747802017E-10
0.004566666666666664      4.849756178150192E-10    4.871646984475136E-10    4.910475430885281E-10
0.004599999999999998      4.812159991971127E-10    4.833566264925614E-10    4.871495902258836E-10
0.004633333333333331      4.77510953252843E-10     4.796045718890316E-10    4.83310503327372E-10
0.0046666666666666645     4.738583629891697E-10    4.759063145655213E-10    4.795278409981152E-10
0.004699999999999998      4.702582279405092E-10    4.722618538443292E-10    4.758016020462094E-10
0.004733333333333331      4.667092498773776E-10    4.686698427343112E-10    4.721303385868039E-10
0.004766666666666664      4.6320945986003227E-10   4.6512822110107165E-10   4.685117976673108E-10
0.004799999999999997      4.5975885745774493E-10   4.6163698832730985E-10   4.6494597822639693E-10
0.00483333333333333       4.5635626056204906E-10   4.5819492015987896E-10   4.614315697369644E-10
0.004866666666666663      4.5299986302439575E-10   4.548001303797109E-10    4.579665189444325E-10
0.004899999999999996      4.4968966444613235E-10   4.5145261842373963E-10   4.545508249010718E-10
0.00493333333333333       4.464245720141844E-10    4.4815125395893706E-10   4.511832812267456E-10
0.004966666666666663      4.432029165602871E-10    4.4489429719766106E-10   4.4786200254307044E-10
0.004999999999999996      4.4002469770570574E-10   4.4168174761431465E-10   4.445869879866299E-10
0.00503333333333333       4.3688894102057685E-10   4.3851259915370073E-10   4.4135716809521514E-10
0.005066666666666662      4.337940710896024E-10    4.3538521270316756E-10   4.3817077390565265E-10
0.005099999999999995      4.3074008755992006E-10   4.322995877794222E-10    4.3502780463904923E-10
0.005133333333333329      4.2772609920632887E-10   4.2925480559809666E-10   4.3192728670000007E-10
0.005166666666666661      4.2475065958019814E-10   4.262493635955953E-10    4.28867604279515E-10
